epoch,family_valid_macro_f1,family_valid_accuracy,train_loss,source
1,0.675668,0.67875,1.4621,logs/deberta_lora_ddp_20260605_175901.log
2,0.797019,0.7975,0.6639,logs/deberta_lora_ddp_20260605_175901.log
3,0.77689,0.78,0.4605,logs/deberta_lora_ddp_20260605_175901.log
4,0.811323,0.8075,0.3891,logs/deberta_lora_ddp_20260605_175901.log
5,0.829547,0.826875,0.3049,logs/deberta_lora_ddp_20260605_175901.log
6,0.865526,0.865938,0.2561,logs/deberta_lora_ddp_20260605_175901.log
7,0.844648,0.842812,0.2153,logs/deberta_lora_ddp_20260605_175901.log
8,0.836814,0.839375,0.1863,logs/deberta_lora_ddp_20260605_175901.log
9,0.858974,0.858437,0.1649,logs/deberta_lora_ddp_20260605_175901.log
10,0.852668,0.850313,0.1568,logs/deberta_lora_ddp_20260605_175901.log
11,0.864253,0.862812,0.1285,logs/deberta_lora_ddp_20260605_175901.log
12,0.868958,0.8675,0.1035,logs/deberta_lora_ddp_20260605_175901.log
13,0.854217,0.853125,0.1079,logs/deberta_lora_ddp_20260605_175901.log
14,0.878592,0.878125,0.0911,logs/deberta_lora_ddp_20260605_175901.log
15,0.871035,0.869375,0.071,logs/deberta_lora_ddp_20260605_175901.log
16,0.862508,0.863125,0.0702,logs/deberta_lora_ddp_20260605_175901.log
17,0.8767,0.877188,0.0595,logs/deberta_lora_ddp_20260605_175901.log
18,0.873374,0.873125,0.0481,logs/deberta_lora_ddp_20260605_175901.log
19,0.879663,0.87875,0.0359,logs/deberta_lora_ddp_20260605_175901.log
20,0.877231,0.876563,0.0356,logs/deberta_lora_ddp_20260605_175901.log
